Ticket_ID,Ticket_Text,Category,Priority,Channel,Customer_Tier
TKT-10071,Webhook notifications are delayed by approximately 45 minutes since latest release Thanks for your prompt help.,Technical Issues,Medium,Web Portal,Enterprise
TKT-10072,Help please! We are downsizing our team and wish to downgrade from Enterprise to Starter plan Let me know the resolution.,Cancellation & Refunds,Medium,Web Portal,Free Tier
TKT-10073,Urgent assistance needed: Google workspace OAuth single sign-on throws redirect uri mismatch error Appreciate your assistance.,Account Access,Medium,Web Portal,SMB
TKT-10074,"Hi there, Webhook notifications are delayed by approximately 45 minutes since latest release Let me know the resolution.",Technical Issues,Medium,Email,SMB
TKT-10075,Urgent assistance needed: Is there a free trial period available for the analytics add-on module? Appreciate your assistance.,Product Inquiries,Low,Web Portal,SMB
TKT-10076,"Help please! Credit card was double charged twice for annual subscription total $2,400 please reverse immediately Appreciate your assistance.",Billing & Payments,High,In-App Chat,Enterprise
TKT-10077,Help please! Legal notice: unauthorized renewal charge dispute initiated process refund now Appreciate your assistance.,Cancellation & Refunds,High,In-App Chat,Enterprise
TKT-10078,"FYI, Can one user be a member of multiple organization workspaces? Please look into this as soon as possible.",Account Access,Low,Email,SMB
TKT-10079,Password reset link email never arrives in inbox or spam folder,Account Access,Medium,Web Portal,SMB
TKT-10080,"Dear Customer Service, Cannot upload CSV file larger than 5MB error says file format unsupported Thanks for your prompt help.",Technical Issues,Medium,Web Portal,Enterprise
TKT-10081,Help please! Mobile app crashes whenever user switches from dark mode to light mode in settings Regards.,Technical Issues,Medium,Email,SMB
TKT-10082,Urgent assistance needed: How many concurrent API requests are allowed on the standard developer tier? Appreciate your assistance.,Product Inquiries,Medium,In-App Chat,SMB
TKT-10083,Attention: Can one user be a member of multiple organization workspaces? Awaiting your quick reply.,Account Access,Low,In-App Chat,Enterprise
TKT-10084,"Hi there, Web application loading very slowly dashboard takes over 30 seconds to render charts",Technical Issues,Medium,In-App Chat,SMB
TKT-10085,"Hello support team, Can we customize webhook payload headers with custom authorization tokens? Appreciate your assistance.",Product Inquiries,Medium,Web Portal,Enterprise
TKT-10086,"Hello support team, Memory leak causing production Kubernetes pods to crash in loop OOMKilled Appreciate your assistance.",Technical Issues,High,In-App Chat,Free Tier
TKT-10087,Requesting instructions for setting up Google Authenticator app Thanks for your prompt help.,Account Access,Low,Web Portal,Enterprise
TKT-10088,"Dear Customer Service, Integration with Slack bot stopped sending automated channel alerts Awaiting your quick reply.",Technical Issues,Medium,In-App Chat,SMB
TKT-10089,Cannot upload CSV file larger than 5MB error says file format unsupported Thanks for your prompt help.,Technical Issues,Medium,Web Portal,Free Tier
TKT-10090,"Hey, What payment currencies do you support for international bank cards? Awaiting your quick reply.",Billing & Payments,Low,In-App Chat,SMB
TKT-10091,"Hey, Data pipeline corrupted our daily sync failed for enterprise client accounts Awaiting your quick reply.",Technical Issues,High,Email,Enterprise
TKT-10092,"Hi there, API endpoint returning 503 service unavailable all background workers crashed immediately Thanks for your prompt help.",Technical Issues,High,Web Portal,SMB
TKT-10093,Attention: We are downsizing our team and wish to downgrade from Enterprise to Starter plan Regards.,Cancellation & Refunds,Medium,Web Portal,SMB
TKT-10094,Can you share best practices for organizing workspaces across departments?,Product Inquiries,Low,Email,SMB
TKT-10095,"Hi there, Data pipeline corrupted our daily sync failed for enterprise client accounts Appreciate your assistance.",Technical Issues,High,Web Portal,SMB
TKT-10096,Help please! Requesting breakdown of usage-based tier charges for bandwidth overages last month,Billing & Payments,Medium,Email,Enterprise
TKT-10097,"Hi there, Requesting quote for adding 5 additional user seats to team plan next month Appreciate your assistance.",Billing & Payments,Low,Web Portal,Enterprise
TKT-10098,Help please! Integration with Slack bot stopped sending automated channel alerts Appreciate your assistance.,Technical Issues,Medium,Email,SMB
TKT-10099,Where can I download past invoices from the billing settings page? Appreciate your assistance.,Billing & Payments,Low,Web Portal,Enterprise
TKT-10100,"Hello support team, Requesting breakdown of usage-based tier charges for bandwidth overages last month Thanks for your prompt help.",Billing & Payments,Medium,In-App Chat,Enterprise
TKT-10101,"Greetings, Can one user be a member of multiple organization workspaces? Awaiting your quick reply.",Account Access,Low,Web Portal,SMB
TKT-10102,"Greetings, Webhook notifications are delayed by approximately 45 minutes since latest release Awaiting your quick reply.",Technical Issues,Medium,Email,Enterprise
TKT-10103,"FYI, Can we customize webhook payload headers with custom authorization tokens? Regards.",Product Inquiries,Medium,Web Portal,Enterprise
TKT-10104,"FYI, Payment gateway failed during checkout customer funds deducted but invoice marked unpaid Please look into this as soon as possible.",Billing & Payments,High,Web Portal,SMB
TKT-10105,"Dear Customer Service, Coupon promo code DISCOUNT20 was not applied during renewal checkout Regards.",Billing & Payments,Medium,Email,SMB
TKT-10106,"FYI, Cannot change primary email address in profile settings page throws permission error Appreciate your assistance.",Account Access,Medium,Web Portal,SMB
TKT-10107,Help please! Invited team member receives invalid invitation token error when clicking join link Appreciate your assistance.,Account Access,Medium,In-App Chat,Enterprise
TKT-10108,Attention: Mobile app crashes whenever user switches from dark mode to light mode in settings Regards.,Technical Issues,Medium,Email,Enterprise
TKT-10109,"Dear Customer Service, Cannot upload CSV file larger than 5MB error says file format unsupported Let me know the resolution.",Technical Issues,Medium,In-App Chat,Enterprise
TKT-10110,"FYI, Customer requested partial refund for unused seat licenses from previous quarter Thanks for your prompt help.",Cancellation & Refunds,Medium,Email,SMB
TKT-10111,Help please! Typo in user settings documentation link points to older version 2.1 guide Let me know the resolution.,Technical Issues,Low,Web Portal,SMB
TKT-10112,Help please! API endpoint returning 503 service unavailable all background workers crashed immediately Appreciate your assistance.,Technical Issues,High,Email,Free Tier
TKT-10113,Attention: Coupon promo code DISCOUNT20 was not applied during renewal checkout Thanks for your prompt help.,Billing & Payments,Medium,Email,SMB
TKT-10114,"Hello support team, Mobile app crashes whenever user switches from dark mode to light mode in settings Regards.",Technical Issues,Medium,Email,SMB
TKT-10115,"Hello support team, Need to revoke access for former employee immediately and transfer project ownership Appreciate your assistance.",Account Access,Medium,Email,Free Tier
TKT-10116,"Hi there, Minor CSS layout glitch on safari browser when viewing navigation menu Let me know the resolution.",Technical Issues,Low,Web Portal,Free Tier
TKT-10117,Attention: Data residency inquiry: can our customer data be strictly stored in Frankfurt EU region? This is impacting our business operations.,Product Inquiries,High,Email,Enterprise
TKT-10118,Urgent assistance needed: Data pipeline corrupted our daily sync failed for enterprise client accounts This is impacting our business operations.,Technical Issues,High,Email,Free Tier
TKT-10119,Attention: Coupon promo code DISCOUNT20 was not applied during renewal checkout,Billing & Payments,Medium,Web Portal,SMB
TKT-10120,"FYI, Need to update billing address and GST identification number on upcoming monthly invoice Please look into this as soon as possible.",Billing & Payments,Medium,In-App Chat,SMB
TKT-10121,"Greetings, Where do I configure two-factor authentication in account preferences? This is impacting our business operations.",Account Access,Low,Web Portal,SMB
TKT-10122,"Hello support team, What are the supported database connectors for the analytics pipeline? Let me know the resolution.",Product Inquiries,Medium,Email,SMB
TKT-10123,"Hey, Where is the cancellation request button located inside billing settings? This is impacting our business operations.",Cancellation & Refunds,Low,Email,Enterprise
TKT-10124,Where do I configure two-factor authentication in account preferences? Please look into this as soon as possible.,Account Access,Low,Web Portal,SMB
TKT-10125,Attention: How to switch payment method from American Express to corporate ACH wire transfer? Regards.,Billing & Payments,Medium,Email,Enterprise
TKT-10126,Urgent assistance needed: Typo in user settings documentation link points to older version 2.1 guide This is impacting our business operations.,Technical Issues,Low,Email,SMB
TKT-10127,Attention: Can one user be a member of multiple organization workspaces? Awaiting your quick reply.,Account Access,Low,Web Portal,SMB
TKT-10128,Attention: Coupon promo code DISCOUNT20 was not applied during renewal checkout Awaiting your quick reply.,Billing & Payments,Medium,Web Portal,Enterprise
TKT-10129,"Dear Customer Service, What are the supported database connectors for the analytics pipeline?",Product Inquiries,Medium,Email,Free Tier
TKT-10130,Lost two-factor authentication device backup codes not working urgent root access needed Please look into this as soon as possible.,Account Access,High,Web Portal,SMB
TKT-10131,"Hey, What is your cancellation policy if we decide to pause subscription next quarter? Appreciate your assistance.",Cancellation & Refunds,Low,Web Portal,Enterprise
TKT-10132,Attention: Can we customize webhook payload headers with custom authorization tokens? Regards.,Product Inquiries,Medium,Web Portal,Enterprise
TKT-10133,Can we pay our invoice via annual bank check instead of card? Please look into this as soon as possible.,Billing & Payments,Low,Web Portal,SMB
TKT-10134,"Hi there, Where can I find video tutorials for onboarding new team members? This is impacting our business operations.",Product Inquiries,Low,Web Portal,Enterprise
TKT-10135,"Greetings, Credit card was double charged twice for annual subscription total $2,400 please reverse immediately Let me know the resolution.",Billing & Payments,High,Web Portal,Free Tier
TKT-10136,"Hi there, Coupon promo code DISCOUNT20 was not applied during renewal checkout Appreciate your assistance.",Billing & Payments,Medium,Email,Free Tier
TKT-10137,Attention: How to switch payment method from American Express to corporate ACH wire transfer? Please look into this as soon as possible.,Billing & Payments,Medium,Web Portal,SMB
TKT-10138,"Hello support team, Requesting breakdown of usage-based tier charges for bandwidth overages last month Appreciate your assistance.",Billing & Payments,Medium,Web Portal,Free Tier
TKT-10139,"Hi there, Need to revoke access for former employee immediately and transfer project ownership Thanks for your prompt help.",Account Access,Medium,Email,SMB
TKT-10140,"Hello support team, What payment currencies do you support for international bank cards?",Billing & Payments,Low,In-App Chat,Free Tier
TKT-10141,"Hello support team, Coupon promo code DISCOUNT20 was not applied during renewal checkout Regards.",Billing & Payments,Medium,In-App Chat,Free Tier
TKT-10142,"Greetings, What is the exact difference in features between Professional and Enterprise tier? This is impacting our business operations.",Product Inquiries,Medium,Web Portal,SMB
TKT-10143,Urgent assistance needed: Data pipeline corrupted our daily sync failed for enterprise client accounts This is impacting our business operations.,Technical Issues,High,Email,Enterprise
TKT-10144,"Dear Customer Service, Security vulnerability detected unauthorized API calls from unknown IP address help Let me know the resolution.",Technical Issues,High,Email,Enterprise
TKT-10145,"Greetings, Will our annual subscription automatically renew next quarter? Please look into this as soon as possible.",Billing & Payments,Low,Web Portal,Enterprise
TKT-10146,"Hi there, Mobile app crashes whenever user switches from dark mode to light mode in settings Thanks for your prompt help.",Technical Issues,Medium,In-App Chat,SMB
TKT-10147,"Greetings, Requesting quote for adding 5 additional user seats to team plan next month Regards.",Billing & Payments,Low,Web Portal,SMB
TKT-10148,"Hey, Coupon promo code DISCOUNT20 was not applied during renewal checkout Let me know the resolution.",Billing & Payments,Medium,Web Portal,Free Tier
TKT-10149,"Greetings, Critical compatibility question: does your SDK support Python 3.12 in production?",Product Inquiries,High,Web Portal,SMB
TKT-10150,"FYI, Will our annual subscription automatically renew next quarter? Regards.",Billing & Payments,Low,Web Portal,SMB
TKT-10151,"Hi there, Urgent: tax invoice number missing on compliance statement audit deadline tomorrow Regards.",Billing & Payments,High,Email,Free Tier
TKT-10152,Help please! How do I update my profile avatar and display name on the portal? Thanks for your prompt help.,Account Access,Low,Email,SMB
TKT-10153,Help please! Need immediate technical specifications before signing annual enterprise contract today Appreciate your assistance.,Product Inquiries,High,Web Portal,Enterprise
TKT-10154,"FYI, How many concurrent API requests are allowed on the standard developer tier? Appreciate your assistance.",Product Inquiries,Medium,Web Portal,Free Tier
TKT-10155,"Hi there, Coupon promo code DISCOUNT20 was not applied during renewal checkout Let me know the resolution.",Billing & Payments,Medium,In-App Chat,Enterprise
TKT-10156,"Hey, Is there an RSS feed available for platform status announcements? This is impacting our business operations.",Technical Issues,Low,Web Portal,SMB
TKT-10157,Help please! Need to revoke access for former employee immediately and transfer project ownership Thanks for your prompt help.,Account Access,Medium,Web Portal,Free Tier
TKT-10158,"Dear Customer Service, Cannot upload CSV file larger than 5MB error says file format unsupported Regards.",Technical Issues,Medium,Web Portal,SMB
TKT-10159,"Hi there, Integration with Slack bot stopped sending automated channel alerts Please look into this as soon as possible.",Technical Issues,Medium,Email,Enterprise
TKT-10160,Attention: Minor CSS layout glitch on safari browser when viewing navigation menu Thanks for your prompt help.,Technical Issues,Low,Web Portal,Enterprise
TKT-10161,Help please! Security vulnerability detected unauthorized API calls from unknown IP address help Thanks for your prompt help.,Technical Issues,High,Web Portal,SMB
TKT-10162,Is there a free trial period available for the analytics add-on module? Please look into this as soon as possible.,Product Inquiries,Low,Web Portal,Enterprise
TKT-10163,"Hello support team, Requesting instructions for setting up Google Authenticator app Regards.",Account Access,Low,Email,SMB
TKT-10164,Can we pause our subscription for 2 months during our seasonal business hiatus? Please look into this as soon as possible.,Cancellation & Refunds,Low,In-App Chat,Enterprise
TKT-10165,"Hey, Can one user be a member of multiple organization workspaces? Awaiting your quick reply.",Account Access,Low,In-App Chat,Enterprise
TKT-10166,"Greetings, Cannot change primary email address in profile settings page throws permission error Appreciate your assistance.",Account Access,Medium,Web Portal,Free Tier
TKT-10167,"Greetings, Does the platform support automated CSV data export via scheduled SFTP? Please look into this as soon as possible.",Product Inquiries,Medium,Email,SMB
TKT-10168,"Hey, Need to revoke access for former employee immediately and transfer project ownership This is impacting our business operations.",Account Access,Medium,Web Portal,SMB
TKT-10169,"Dear Customer Service, Web application loading very slowly dashboard takes over 30 seconds to render charts Appreciate your assistance.",Technical Issues,Medium,Email,SMB
TKT-10170,"Hi there, Google workspace OAuth single sign-on throws redirect uri mismatch error Regards.",Account Access,Medium,Web Portal,Free Tier
TKT-10171,Urgent assistance needed: API endpoint returning 503 service unavailable all background workers crashed immediately This is impacting our business operations.,Technical Issues,High,In-App Chat,SMB
TKT-10172,"FYI, How many concurrent API requests are allowed on the standard developer tier?",Product Inquiries,Medium,In-App Chat,Free Tier
TKT-10173,"Hey, What are the supported database connectors for the analytics pipeline? Please look into this as soon as possible.",Product Inquiries,Medium,Web Portal,Enterprise
TKT-10174,"Hi there, How to switch payment method from American Express to corporate ACH wire transfer? Awaiting your quick reply.",Billing & Payments,Medium,Email,Enterprise
TKT-10175,"FYI, Cancel subscription immediately and process full refund as promised by account manager within 24h",Cancellation & Refunds,High,Web Portal,Free Tier
TKT-10176,Help please! What are the supported database connectors for the analytics pipeline? Regards.,Product Inquiries,Medium,In-App Chat,Free Tier
TKT-10177,"Greetings, Need to update billing address and GST identification number on upcoming monthly invoice Let me know the resolution.",Billing & Payments,Medium,Web Portal,SMB
TKT-10178,Critical compatibility question: does your SDK support Python 3.12 in production? This is impacting our business operations.,Product Inquiries,High,Web Portal,Enterprise
TKT-10179,"Hey, Is there an RSS feed available for platform status announcements? Awaiting your quick reply.",Technical Issues,Low,In-App Chat,Free Tier
TKT-10180,Where is the cancellation request button located inside billing settings? This is impacting our business operations.,Cancellation & Refunds,Low,Email,SMB
TKT-10181,Attention: Is there an RSS feed available for platform status announcements? Appreciate your assistance.,Technical Issues,Low,Email,SMB
TKT-10182,Attention: Account locked out completely admin cannot access production console MFA token expired This is impacting our business operations.,Account Access,High,Web Portal,SMB
TKT-10183,"FYI, Typo in user settings documentation link points to older version 2.1 guide Regards.",Technical Issues,Low,Email,SMB
TKT-10184,"Hey, Webhook notifications are delayed by approximately 45 minutes since latest release",Technical Issues,Medium,Web Portal,Enterprise
TKT-10185,"Hello support team, Integration with Slack bot stopped sending automated channel alerts Thanks for your prompt help.",Technical Issues,Medium,Web Portal,SMB
TKT-10186,Attention: Can one user be a member of multiple organization workspaces? This is impacting our business operations.,Account Access,Low,In-App Chat,SMB
TKT-10187,"Hello support team, How to change notification preferences for email digests? This is impacting our business operations.",Account Access,Low,In-App Chat,SMB
TKT-10188,"Dear Customer Service, Does the platform support automated CSV data export via scheduled SFTP? Regards.",Product Inquiries,Medium,Email,Enterprise
TKT-10189,Urgent assistance needed: What is your cancellation policy if we decide to pause subscription next quarter? Regards.,Cancellation & Refunds,Low,Email,Enterprise
TKT-10190,"Dear Customer Service, Will our annual subscription automatically renew next quarter? Thanks for your prompt help.",Billing & Payments,Low,Email,SMB
TKT-10191,"Hello support team, Webhook notifications are delayed by approximately 45 minutes since latest release Please look into this as soon as possible.",Technical Issues,Medium,Email,Enterprise
TKT-10192,Help please! Need to revoke access for former employee immediately and transfer project ownership This is impacting our business operations.,Account Access,Medium,Email,SMB
TKT-10193,"Hey, How do we export all our workspace data before closing our company account? Appreciate your assistance.",Cancellation & Refunds,Medium,Email,Enterprise
TKT-10194,Help please! Is there a free trial period available for the analytics add-on module? Please look into this as soon as possible.,Product Inquiries,Low,Email,SMB
TKT-10195,"Dear Customer Service, Suspected account takeover received password reset email that was not initiated by us This is impacting our business operations.",Account Access,High,Web Portal,SMB
TKT-10196,Security vulnerability detected unauthorized API calls from unknown IP address help Regards.,Technical Issues,High,Web Portal,Enterprise
TKT-10197,"FYI, Please ensure auto-renewal is turned off for our yearly subscription Regards.",Cancellation & Refunds,Medium,Email,Free Tier
TKT-10198,Help please! What payment currencies do you support for international bank cards? This is impacting our business operations.,Billing & Payments,Low,Web Portal,Free Tier
TKT-10199,"Hey, Integration with Slack bot stopped sending automated channel alerts This is impacting our business operations.",Technical Issues,Medium,In-App Chat,SMB
TKT-10200,Help please! Coupon promo code DISCOUNT20 was not applied during renewal checkout Regards.,Billing & Payments,Medium,Email,Enterprise
TKT-10201,Attention: Where can I find video tutorials for onboarding new team members? Let me know the resolution.,Product Inquiries,Low,Web Portal,Free Tier
TKT-10202,"Dear Customer Service, Where can I find video tutorials for onboarding new team members? Regards.",Product Inquiries,Low,Email,Enterprise
TKT-10203,"Dear Customer Service, Feature request: can you add a dark theme option for the PDF export tool? Awaiting your quick reply.",Technical Issues,Low,Web Portal,Enterprise
TKT-10204,"Dear Customer Service, Google workspace OAuth single sign-on throws redirect uri mismatch error Please look into this as soon as possible.",Account Access,Medium,Web Portal,SMB
TKT-10205,"Hi there, Integration with Slack bot stopped sending automated channel alerts",Technical Issues,Medium,Web Portal,Free Tier
TKT-10206,Help please! Cannot upload CSV file larger than 5MB error says file format unsupported,Technical Issues,Medium,Email,SMB
TKT-10207,"Help please! If we cancel, do we still retain read-only access to historical dashboard reports? This is impacting our business operations.",Cancellation & Refunds,Low,Web Portal,Enterprise
TKT-10208,"Dear Customer Service, Customer onboarding failed completely demanding full refund and data wipe immediately Please look into this as soon as possible.",Cancellation & Refunds,High,Email,Enterprise
TKT-10209,"FYI, Need to update billing address and GST identification number on upcoming monthly invoice Appreciate your assistance.",Billing & Payments,Medium,Web Portal,Free Tier
TKT-10210,Coupon promo code DISCOUNT20 was not applied during renewal checkout Thanks for your prompt help.,Billing & Payments,Medium,Email,Enterprise
TKT-10211,Urgent assistance needed: Requesting instructions for setting up Google Authenticator app This is impacting our business operations.,Account Access,Low,Web Portal,Free Tier
